year,state,all_firearms_recovered,city,firearm_by_city,population,top_categ_reported,top15_sourcer_states,time_to_crime,age_of_possessors
2014,New Mexico,,Artesia,43,,,,,
2014,New Mexico,,La Luz,40,,,,,
2014,New Mexico,,Deming,38,,,,,
2014,New Mexico,,Loving,31,,,,,
2014,New Mexico,,Albuquerque,405,,,,,
2014,New Mexico,,Hobbs,218,,,,,
,,,,,,,,,
2014,New York,7686,Buffalo,606,,,,,
2014,New York,,Rochester,435,,,,,
2014,New York,,Davenport,310,,,,,
2014,New York,,Syracuse,272,,,,,
2014,New York,,East Greenbush,128,,,,,
2014,New York,,Albany,115,,,,,
2014,New York,,Niagara Falls,83,,,,,
2014,New York,,Yonkers,83,,,,,
2014,New York,,Newburgh,80,,,,,
2014,New York,,New York City,3552,,,,,
,,,,,,,,,
2014,North Carolina,10743,Greensboro,571,,,,,
2014,North Carolina,,Winston-Salem,560,,,,,
2014,North Carolina,,Fayetteville,475,,,,,
2014,North Carolina,,Durham,346,,,,,
2014,North Carolina,,Wilmington,268,,,,,
2014,North Carolina,,Rocky Mount,243,,,,,
2014,North Carolina,,High Point,233,,,,,
2014,North Carolina,,Gastonia,174,,,,,
2014,North Carolina,,Charlotte,1878,,,,,
2014,North Carolina,,Raleigh,795,,,,,
,,,,,,,,,
2014,North Dakota,1308,Bismarck,221,,,,,
2014,North Dakota,,Williston,122,,,,,
2014,North Dakota,,Watford City,59,,,,,
2014,North Dakota,,New Town,46,,,,,
2014,North Dakota,,Keene,32,,,,,
2014,North Dakota,,Fargo,31,,,,,
2014,North Dakota,,Dickinson,29,,,,,
2014,North Dakota,,Grand Forks,27,,,,,
2014,North Dakota,,Mandan,22,,,,,
2014,North Dakota,,Jamestown,21,,,,,
2014,North Dakota,,Minot,287,,,,,
,,,,,,,,,
2014,Ohio,10333,Cleveland,1679,,,,,
2014,Ohio,,Cincinnati,1412,,,,,
2014,Ohio,,Toledo,914,,,,,
2014,Ohio,,Akron,465,,,,,
2014,Ohio,,Hamilton,213,,,,,
2014,Ohio,,Mansfield,186,,,,,
2014,Ohio,,Youngstown,167,,,,,
2014,Ohio,,Warren,137,,,,,
2014,Ohio,,Dayton,107,,,,,
2014,Ohio,,Columbus,2263,,,,,
,,,,,,,,,
2014,Oklahoma,1485,Oklahoma City,207,,,,,
2014,Oklahoma,,Edmond,100,,,,,
2014,Oklahoma,,Yukon,62,,,,,
2014,Oklahoma,,Muskogee,58,,,,,
2014,Oklahoma,,McAlester,49,,,,,
2014,Oklahoma,,Moore,39,,,,,
2014,Oklahoma,,Okmulgee,35,,,,,
2014,Oklahoma,,Mustang,25,,,,,
2014,Oklahoma,,Skiatook,25,,,,,
2014,Oklahoma,,Tulsa,427,,,,,
,,,,,,,,,
2014,Oregon,3812,Medford,239,,,,,
2014,Oregon,,Scio,238,,,,,
2014,Oregon,,Eugene,228,,,,,
2014,Oregon,,Beaverton,161,,,,,
2014,Oregon,,Grants Pass,131,,,,,
2014,Oregon,,Springfield,103,,,,,
2014,Oregon,,Redmond,78,,,,,
2014,Oregon,,Gresham,71,,,,,
2014,Oregon,,Portland,918,,,,,
2014,Oregon,,Salem,247,,,,,
,,,,,,,,,
2014,Pennsylvania,8929,Pittsburgh,988,,,,,
2014,Pennsylvania,,Reading,244,,,,,
2014,Pennsylvania,,Erie,214,,,,,
2014,Pennsylvania,,Harrisburg,212,,,,,
2014,Pennsylvania,,Chester,129,,,,,
2014,Pennsylvania,,Allentown,96,,,,,
2014,Pennsylvania,,Aliquippa,89,,,,,
2014,Pennsylvania,,Lancaster,83,,,,,
2014,Pennsylvania,,Uniontown,74,,,,,
2014,Pennsylvania,,Philadelphia,3187,,,,,
,,,,,,,,,
2014,Puerto Rico,1261,San Juan,288,,,,,
2014,Puerto Rico,,Carolina,41,,,,,
2014,Puerto Rico,,Guaynabo,35,,,,,
2014,Puerto Rico,,Ponce,34,,,,,
2014,Puerto Rico,,Caguas,30,,,,,
2014,Puerto Rico,,Arecibo,20,,,,,
2014,Puerto Rico,,Cayey,18,,,,,
2014,Puerto Rico,,Fajardo,18,,,,,
2014,Puerto Rico,,Humacao,18,,,,,
2014,Puerto Rico,,Bayamon,419,,,,,
,,,,,,,,,
2014,Rhode Island,436,Johnston,32,,,,,
2014,Rhode Island,,Woonsocket,24,,,,,
2014,Rhode Island,,Warwick,19,,,,,
2014,Rhode Island,,Glocester,17,,,,,
2014,Rhode Island,,Pawtucket,14,,,,,
2014,Rhode Island,,Scituate,11,,,,,
2014,Rhode Island,,South Kingstown,11,,,,,
2014,Rhode Island,,Cranston,9,,,,,
2014,Rhode Island,,Providence,216,,,,,
,,,,,,,,,
2014,South Carolina,4067,North Charleston,301,,,,,
2014,South Carolina,,Myrtle Beach,201,,,,,
2014,South Carolina,,Charleston,156,,,,,
2014,South Carolina,,Summerville,128,,,,,
2014,South Carolina,,Conway,99,,,,,
2014,South Carolina,,Florence,94,,,,,
2014,South Carolina,,Orangeburg,85,,,,,
2014,South Carolina,,North Myrtle Beach,84,,,,,
2014,South Carolina,,Columbia,344,,,,,
2014,South Carolina,,Spartanburg,316,,,,,
,,,,,,,,,
2014,South Dakota,252,Lead,23,,,,,
2014,South Dakota,,Corsica,10,,,,,
2014,South Dakota,,Mission,10,,,,,
2014,South Dakota,,Brookings,9,,,,,
2014,South Dakota,,Watertown,9,,,,,
2014,South Dakota,,Wagner,8,,,,,
2014,South Dakota,,Bruce,7,,,,,
2014,South Dakota,,Rosebud,7,,,,,
2014,South Dakota,,Sioux Falls,45,,,,,
2014,South Dakota,,Rapid City,41,,,,,
,,,,,,,,,
2014,Tennessee,5839,Nashville,772,,,,,
2014,Tennessee,,East Ridge,485,,,,,
2014,Tennessee,,Knoxville,403,,,,,
2014,Tennessee,,Maryville,104,,,,,
2014,Tennessee,,Soddy Daisy,104,,,,,
2014,Tennessee,,Clarksville,92,,,,,
2014,Tennessee,,Johnson City,89,,,,,
2014,Tennessee,,Memphis,1172,,,,,
2014,Tennessee,,Chattanooga,804,,,,,
,,,,,,,,,
2014,Texas,15977,Dallas,2453,,,,,
2014,Texas,,Austin,1046,,,,,
2014,Texas,,Corpus Christi,580,,,,,
2014,Texas,,Fort Worth,386,,,,,
2014,Texas,,San Antonio,377,,,,,
2014,Texas,,Killeen,328,,,,,
2014,Texas,,Laredo,327,,,,,
2014,Texas,,Beaumont,285,,,,,
2014,Texas,,Midland,248,,,,,
2014,Texas,,Houston,3450,,,,,
,,,,,,,,,
2014,US Virgin Islands,135,Charlotte Amalie,22,,,,,
2014,US Virgin Islands,,Kingshill,13,,,,,
2014,US Virgin Islands,,Frederiksted,12,,,,,
2014,US Virgin Islands,,St. Croix,11,,,,,
2014,US Virgin Islands,,St. John,1,,,,,
2014,US Virgin Islands,,St. Thomas,50,,,,,
2014,US Virgin Islands,,Christiansted,26,,,,,
,,,,,,,,,
2014,Utah,1110,Salt Lake City,78,,,,,
2014,Utah,,Layton,65,,,,,
2014,Utah,,Orem,42,,,,,
2014,Utah,,Murray,35,,,,,
2014,Utah,,South Jordon,35,,,,,
2014,Utah,,South Salt Lake,30,,,,,
2014,Utah,,Springville,30,,,,,
2014,Utah,,West Valley City,118,,,,,
2014,Utah,,West Jordan,102,,,,,
2014,Utah,,Ogden,84,,,,,
2014,Utah,,Saint George,83,,,,,
,,,,,,,,,
2014,Vermont,161,Milton,17,,,,,
2014,Vermont,,Saint Albans,10,,,,,
2014,Vermont,,Barre,8,,,,,
2014,Vermont,,Rutland,5,,,,,
2014,Vermont,,Waterbury,5,,,,,
2014,Vermont,,Brattleboro,4,,,,,
2014,Vermont,,Newbury,4,,,,,
2014,Vermont,,Townshend,4,,,,,
2014,Vermont,,Burlington,30,,,,,
2014,Vermont,,Berlin,24,,,,,
,,,,,,,,,
2014,Virginia,7129,Newport News,378,,,,,
2014,Virginia,,Norfolk,371,,,,,
2014,Virginia,,Roanoke,302,,,,,
2014,Virginia,,Chesapeake,264,,,,,
2014,Virginia,,Hampton,212,,,,,
2014,Virginia,,Portsmouth,191,,,,,
2014,Virginia,,Suffolk,154,,,,,
2014,Virginia,,Woodbridge,149,,,,,
2014,Virginia,,Richmond,1134,,,,,
2014,Virginia,,Virginia Beach,572,,,,,
,,,,,,,,,
2014,Washington,3706,Vancouver,175,,,,,
2014,Washington,,Spokane Valley,172,,,,,
2014,Washington,,Kent,163,,,,,
2014,Washington,,Yakima,160,,,,,
2014,Washington,,Kennewick,123,,,,,
2014,Washington,,Renton,118,,,,,
2014,Washington,,Marysville,107,,,,,
2014,Washington,,Everett,104,,,,,
2014,Washington,,Spokane,438,,,,,
2014,Washington,,Seattle,394,,,,,
,,,,,,,,,
2014,West Virginia,933,Beckley,70,,,,,
2014,West Virginia,,Beverly,40,,,,,
2014,West Virginia,,Huntington,40,,,,,
2014,West Virginia,,Peterstown,32,,,,,
2014,West Virginia,,Fairmont,29,,,,,
2014,West Virginia,,Martinsburg,24,,,,,
2014,West Virginia,,South Charleston,23,,,,,
2014,West Virginia,,Wheeling,23,,,,,
2014,West Virginia,,Clarksburg,20,,,,,
2014,West Virginia,,Charleston,268,,,,,
,,,,,,,,,
2014,Wisconsin,3684,Racine,172,,,,,
2014,Wisconsin,,Madison,136,,,,,
2014,Wisconsin,,Appleton,122,,,,,
2014,Wisconsin,,Verona,114,,,,,
2014,Wisconsin,,Kenosha,76,,,,,
2014,Wisconsin,,Green Bay,62,,,,,
2014,Wisconsin,,West Allis,58,,,,,
2014,Wisconsin,,Sheboygan,48,,,,,
2014,Wisconsin,,Beloit,44,,,,,
2014,Wisconsin,,Milwaukee,1980,,,,,
,,,,,,,,,
2014,Wyoming,224,Lander,16,,,,,
2014,Wyoming,,Green River,11,,,,,
2014,Wyoming,,Cody,8,,,,,
2014,Wyoming,,Gillette,8,,,,,
2014,Wyoming,,Rock Springs,8,,,,,
2014,Wyoming,,Tie Siding,6,,,,,
2014,Wyoming,,Cheyenne,50,,,,,
2014,Wyoming,,Casper,26,,,,,
2014,Wyoming,,Sheridan,26,,,,,
2014,Wyoming,,Ethete,16,,,,,
,,,,,,,,,
2015,Alabama,5767,Huntsville,689,,,,,
2015,Alabama,,Birmingham,358,,,,,
2015,Alabama,,Mobile,289,,,,,
2015,Alabama,,Tuscaloosa,233,,,,,
2015,Alabama,,Selma,188,,,,,
2015,Alabama,,Homewood,127,,,,,
2015,Alabama,,Anniston,126,,,,,
2015,Alabama,,Opelika,110,,,,,
2015,Alabama,,Gadsden,102,,,,,
2015,Alabama,,Tuskegee,101,,,,,
2015,Alabama,,Montgomery,1321,,,,,
,,,,,,,,,
2015,Alaska,845,Fairbanks,109,,,,,
2015,Alaska,,Wasilla,76,,,,,
2015,Alaska,,Juneau,36,,,,,
2015,Alaska,,Soldotna,26,,,,,
2015,Alaska,,Eagle River,21,,,,,
2015,Alaska,,Ketchikan,16,,,,,
2015,Alaska,,North Pole,16,,,,,
2015,Alaska,,Kenai,14,,,,,
2015,Alaska,,Chugiak,13,,,,,
2015,Alaska,,Anchorage,461,,,,,
,,,,,,,,,
2015,Arizona,8570,Tucson,1682,,,,,
2015,Arizona,,Glendale,351,,,,,
2015,Arizona,,Tempe,339,,,,,
2015,Arizona,,Scottsdale,252,,,,,
2015,Arizona,,Chandler,208,,,,,
2015,Arizona,,Mesa,198,,,,,
2015,Arizona,,Goodyear,197,,,,,
2015,Arizona,,Yuma,158,,,,,
2015,Arizona,,Peoria,129,,,,,
2015,Arizona,,Phoenix,3563,,,,,
,,,,,,,,,
2015,Arkansas,1232,Hot Springs,98,,,,,
2015,Arkansas,,Springdale,96,,,,,
2015,Arkansas,,Conway,74,,,,,
2015,Arkansas,,Fayetteville,63,,,,,
2015,Arkansas,,Paragould,50,,,,,
2015,Arkansas,,Little Rock,49,,,,,
2015,Arkansas,,Pine Bluff,31,,,,,
2015,Arkansas,,West Memphis,196,,,,,
2015,Arkansas,,North Little Rock,150,,,,,
2015,Arkansas,,Greenbrier,99,,,,,
,,,,,,,,,
2015,California,37043,Oakland,1017,,,,,
2015,California,,Pacific Palisades,958,,,,,
2015,California,,Fresno,891,,,,,
2015,California,,San Diego,766,,,,,
2015,California,,San Francisco,743,,,,,
2015,California,,Fontana,720,,,,,
2015,California,,Stockton,671,,,,,
2015,California,,San Bernardino,662,,,,,
2015,California,,Los Angeles,4428,,,,,
2015,California,,Sacramento,1687,,,,,
,,,,,,,,,
2015,Colorado,4260,Colorado Springs,582,,,,,
2015,Colorado,,Pueblo,229,,,,,
2015,Colorado,,Aurora,213,,,,,
2015,Colorado,,Grand Junction,207,,,,,
2015,Colorado,,Lakewood,196,,,,,
2015,Colorado,,Northglenn,69,,,,,
